请求时间,IP:端口,是否成功,有效URL,状态码,响应时间(秒),频道数,URL类型,失败原因
2026-04-09T12:53:34.874772,182.207.218.6:999,False,,,,0,,连接失败: http://182.207.218.6:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.870191,182.207.218.4:999,False,,,,0,,连接失败: http://182.207.218.4:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.869617,182.207.218.3:999,False,,,,0,,连接失败: http://182.207.218.3:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.885412,182.207.218.18:999,False,,,,0,,连接失败: http://182.207.218.18:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.888069,182.207.218.21:999,False,,,,0,,连接失败: http://182.207.218.21:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.895675,182.207.218.29:999,False,,,,0,,连接失败: http://182.207.218.29:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.889863,182.207.218.23:999,False,,,,0,,连接失败: http://182.207.218.23:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.891791,182.207.218.26:999,False,,,,0,,连接失败: http://182.207.218.26:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.896545,182.207.218.30:999,False,,,,0,,连接失败: http://182.207.218.30:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.880986,182.207.218.13:999,False,,,,0,,连接失败: http://182.207.218.13:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.897398,182.207.218.31:999,False,,,,0,,连接失败: http://182.207.218.31:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.909402,182.207.218.45:999,False,,,,0,,连接失败: http://182.207.218.45:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.906897,182.207.218.42:999,False,,,,0,,连接失败: http://182.207.218.42:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.910487,182.207.218.47:999,False,,,,0,,连接失败: http://182.207.218.47:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.907792,182.207.218.43:999,False,,,,0,,连接失败: http://182.207.218.43:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.913771,182.207.218.50:999,False,,,,0,,连接失败: http://182.207.218.50:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.926759,182.207.218.64:999,False,,,,0,,连接失败: http://182.207.218.64:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.901857,182.207.218.36:999,False,,,,0,,连接失败: http://182.207.218.36:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.902742,182.207.218.37:999,False,,,,0,,连接失败: http://182.207.218.37:999/ZHGXTV/Public/json/live_interface.txt
2026-04-09T12:53:34.935430,182.207.218.74:999,False,,,,0,,连接失败: http://182.207.218.74:999/ZHGXTV/Public/json/live_interface.txt
