#genre#
更新时间,20260420 19:04:49

freetv_cctv,#genre#
CCTV1,http://117.72.203.216:3000/608807420
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://69.30.246.194/live/cctv1.m3u8
CCTV1,https://t.freetv.fun/live/cctv-1.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
CCTV10,http://117.72.203.216:3000/624878405
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV10,http://198.204.228.26/live/cctv10hd.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10-2.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10-3.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-3.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-5.m3u8
CCTV10,https://t.freetv.fun/live/cctv-10ke-jiao-7.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-1-1.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV10,https://t.freetv.fun/live/cctv10-6.m3u8
CCTV10,https://t.freetv.fun/live/cctv10ke-jiao.m3u8
CCTV11,http://117.72.203.216:3000/667987558
CCTV11,http://192.151.150.154/live/cctv11hd.m3u8
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8
CCTV11,http://69.30.246.194/live/cctv11.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11hd-1.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-3.m3u8
CCTV11,https://t.freetv.fun/live/cctv-11xi-qu-4.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-2.m3u8
CCTV11,https://t.freetv.fun/live/cctv11-5.m3u8
CCTV11,https://t.freetv.fun/live/cctv11xi-qu.m3u8
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8
CCTV12,http://198.204.228.26/live/cctv12hd.m3u8
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV12,https://t.freetv.fun/live/cctv-12.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-4.m3u8
CCTV12,https://t.freetv.fun/live/cctv12-6.m3u8
CCTV12,https://t.freetv.fun/live/cctv12.m3u8
CCTV13,http://117.72.203.216:3000/608807423
CCTV13,http://192.151.150.154/live/cctv13hd.m3u8
CCTV13,http://198.204.228.26/live/cctv13hd.m3u8
CCTV13,http://69.30.246.194/live/cctv13.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13hd-1.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13hd.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-2.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-4.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-6.m3u8
CCTV13,https://t.freetv.fun/live/cctv-13xin-wen-7.m3u8
CCTV13,https://t.freetv.fun/live/cctv13-1.m3u8
CCTV13,https://t.freetv.fun/live/cctv13-21.m3u8
CCTV13,https://t.freetv.fun/live/cctv13-6.m3u8
CCTV13,https://t.freetv.fun/live/cctv13-7.m3u8
CCTV13,https://t.freetv.fun/live/cctv13xin-wen.m3u8
CCTV14,http://117.72.203.216:3000/624878440
CCTV14,http://192.151.150.154/live/cctv14hd.m3u8
CCTV14,http://198.204.228.26/live/cctv14hd.m3u8
CCTV14,http://69.30.246.194/live/cctv14.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14hd-1.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-2.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-5.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14shao-er-7.m3u8
CCTV14,https://t.freetv.fun/live/cctv-14shao-er.m3u8
CCTV14,https://t.freetv.fun/live/cctv14-1.m3u8
CCTV14,https://t.freetv.fun/live/cctv14-7.m3u8
CCTV14,https://t.freetv.fun/live/cctv14-8.m3u8
CCTV14,https://t.freetv.fun/live/cctv14shao-er.m3u8
CCTV15,http://117.72.203.216:3000/673168223
CCTV15,http://192.151.150.154/live/cctv15hd.m3u8
CCTV15,http://198.204.228.26/live/cctv15hd.m3u8
CCTV15,http://69.30.246.194/live/cctv15.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15-1.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15hd-1.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-2.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-3.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-5.m3u8
CCTV15,https://t.freetv.fun/live/cctv-15yin-le-7.m3u8
CCTV15,https://t.freetv.fun/live/cctv15-1.m3u8
CCTV15,https://t.freetv.fun/live/cctv15-10.m3u8
CCTV15,https://t.freetv.fun/live/cctv15-2.m3u8
CCTV15,https://t.freetv.fun/live/cctv15-3.m3u8
CCTV15,https://t.freetv.fun/live/cctv15-5.m3u8
CCTV15,https://t.freetv.fun/live/cctv15.m3u8
CCTV15,https://t.freetv.fun/live/cctv15yin-le.m3u8
CCTV16,https://t.freetv.fun/live/cctv-16.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-1.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-3.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-4.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-4k.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-5.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-6.m3u8
CCTV16,https://t.freetv.fun/live/cctv16-8.m3u8
CCTV16,https://t.freetv.fun/live/cctv16.m3u8
CCTV17,http://192.151.150.154/live/cctv17hd.m3u8
CCTV17,http://198.204.228.26/live/cctv17hd.m3u8
CCTV17,http://69.30.246.194/live/cctv17.m3u8
CCTV17,https://t.freetv.fun/live/cctv-17.m3u8
CCTV17,https://t.freetv.fun/live/cctv17-3.m3u8
CCTV17,https://t.freetv.fun/live/cctv17-4.m3u8
CCTV17,https://t.freetv.fun/live/cctv17.m3u8
CCTV2,http://117.72.203.216:3000/631780532
CCTV2,https://t.freetv.fun/live/cctv2-1-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-1.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-4.m3u8
CCTV2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV2,https://t.freetv.fun/live/cctv2cai-jing.m3u8
CCTV3,http://117.72.203.216:3000/624878271
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,https://t.freetv.fun/live/cctv-3.m3u8
CCTV3,https://t.freetv.fun/live/cctv-3hd-1.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-1-1.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-1.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-10.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-2.m3u8
CCTV3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV3,https://t.freetv.fun/live/cctv3zong-yi.m3u8
CCTV4,http://117.72.203.216:3000/631780421
CCTV4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://69.30.246.194/live/cctv4.m3u8
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1776718800-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-63fd3990c5ac371b93cccf8fefff1085&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV4,https://t.freetv.fun/live/cctv-4.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4hd-1.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-2.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-6.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-7.m3u8
CCTV4,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-1-1.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-2.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV4,https://t.freetv.fun/live/cctv4k.m3u8
CCTV4,https://t.freetv.fun/live/cctv4zhong-wen-guo-ji.m3u8
CCTV4K,https://t.freetv.fun/live/cctv4k-1.m3u8
CCTV4K,https://t.freetv.fun/live/cctv4k-3.m3u8
CCTV4欧洲,http://117.72.203.216:3000/608807419
CCTV4美洲,http://117.72.203.216:3000/608807416
CCTV5+,https://t.freetv.fun/live/cctv5-plus-4.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus-6.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus-8.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus.m3u8
CCTV5,http://117.72.203.216:3000/641886683
CCTV5,http://192.151.150.154/live/cctv5hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV5,https://t.freetv.fun/live/cctv-5.m3u8
CCTV5,https://t.freetv.fun/live/cctv-5hd-1.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-2.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-3.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-7.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-plus-3.m3u8
CCTV5,https://t.freetv.fun/live/cctv5.m3u8
CCTV5,https://t.freetv.fun/live/cctv5ti-yu.m3u8
CCTV6,http://117.72.203.216:3000/624878396
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV6,https://t.freetv.fun/live/cctv-6.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-1-1.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-2.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-5.m3u8
CCTV6,https://t.freetv.fun/live/cctv6dian-ying.m3u8
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV7,http://198.204.228.26/live/cctv7hd.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV7,https://t.freetv.fun/live/cctv-7.m3u8
CCTV7,https://t.freetv.fun/live/cctv-7hd-1.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-1-1.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-1.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-5.m3u8
CCTV7,https://t.freetv.fun/live/cctv7-9.m3u8
CCTV8,http://192.151.150.154/live/cctv8hd.m3u8
CCTV8,http://198.204.228.26/live/cctv8hd.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV8,https://t.freetv.fun/live/cctv-8.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-1.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-6.m3u8
CCTV8,https://t.freetv.fun/live/cctv8-7.m3u8
CCTV8,https://t.freetv.fun/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9.m3u8
CCTV9,https://t.freetv.fun/live/cctv-9ji-lu.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-1.m3u8
CCTV9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTVNews,https://t.freetv.fun/live/cctvnews.m3u8
